pickup_zipcode,dropoff_zipcode,trip_time_in_secs
10003,10019,892.7928092626447
10003,10020,752.9369005552751
10003,10021,806.3229951262738
10003,10022,690.1037241379311
10003,10023,985.929792147806
10003,10024,1093.3451665756418
10003,10025,1197.864161849711
10003,10026,1250.125890736342
10003,10027,1316.986111111111
10003,10028,868.2882003395586
10003,10029,978.0219378427788
10003,10030,1363.1259842519685
10003,10031,1410.1988950276243
10003,10032,1435.798245614035
10003,10033,1382.2295081967213
10003,10034,1502.2708333333333
10003,10035,1018.6386554621848
10003,10036,778.179861956963
10003,10037,1175.2156862745098
10003,10038,761.6572164948453
10003,10039,1319.5975609756097
10003,10040,1480.6
10003,10044,825.09375
10003,10065,731.4048569527612
10003,10069,988.8737864077669
10003,10075,846.1059063136456
10003,10103,694.3372549019608
10003,10111,730.9790697674418
10003,10112,637.5230125523012
10003,10115,1338.5866666666666
10003,10119,471.37236069822393
10003,10128,956.1380065717415
10003,10154,661.1434285714286
10003,10165,592.7185185185185
10003,10167,601.436551724138
10003,10168,499.15019193857967
10003,10170,547.7074829931972
10003,10173,610.904075751338
10003,10174,484.3996148290804
10003,10199,545.5430267062314
10003,10278,567.9502762430939
10003,10280,847.5747422680413
10003,10282,711.5467741935483
10003,10301,2250.0
10003,10302,1960.0
10003,10304,1650.0
10003,10305,2053.0
10003,10306,2083.0
10003,10308,2160.0
10003,10309,2400.0
10003,10310,2160.0
10003,10311,2044.0
10003,10312,3026.0
10003,10314,1995.0
10003,10451,1245.7916666666667
10003,10452,1258.2105263157894
10003,10453,1309.4583333333333
10003,10454,1251.7272727272727
10003,10455,1461.4375
10003,10456,1500.076923076923
10003,10457,1418.1818181818182
